user_id,matched_user_id,action,timestamp
U001,U082,1,2025-07-31 13:27:49.004930
U001,U156,0,2026-03-25 13:27:49.004952
U001,U048,0,2025-11-07 13:27:49.004964
U001,U187,0,2025-07-12 13:27:49.004970
U001,U224,0,2026-04-08 13:27:49.004976
U001,U162,0,2026-01-16 13:27:49.004981
U001,U259,1,2026-04-13 13:27:49.004996
U001,U129,0,2026-01-16 13:27:49.005002
U002,U008,0,2025-12-12 13:27:49.005017
U002,U001,0,2026-03-09 13:27:49.005022
U002,U013,0,2026-03-01 13:27:49.005027
U002,U023,1,2026-06-03 13:27:49.005032
U002,U146,0,2025-12-26 13:27:49.005036
U002,U064,1,2026-05-05 13:27:49.005041
U002,U089,1,2026-05-24 13:27:49.005047
U002,U105,1,2026-01-29 13:27:49.005051
U003,U219,1,2026-04-06 13:27:49.005064
U003,U264,0,2026-01-27 13:27:49.005068
U003,U096,0,2025-07-09 13:27:49.005072
U003,U074,0,2025-10-27 13:27:49.005077
U003,U006,0,2025-08-10 13:27:49.005081
U003,U062,0,2026-01-05 13:27:49.005085
U003,U128,0,2025-10-27 13:27:49.005089
U003,U217,1,2026-05-29 13:27:49.005093
U004,U280,1,2025-10-14 13:27:49.005104
U004,U132,0,2025-07-10 13:27:49.005109
U004,U212,0,2026-03-09 13:27:49.005114
U004,U001,0,2026-03-17 13:27:49.005118
U004,U027,0,2026-01-01 13:27:49.005121
U004,U007,1,2026-04-23 13:27:49.005125
U004,U248,0,2025-06-14 13:27:49.005129
U004,U056,0,2025-11-20 13:27:49.005133
U005,U004,0,2025-12-26 13:27:49.005143
U005,U046,0,2025-12-26 13:27:49.005148
U005,U234,1,2026-02-20 13:27:49.005152
U005,U048,0,2025-09-26 13:27:49.005157
U005,U069,0,2026-02-18 13:27:49.005161
U005,U152,0,2025-12-11 13:27:49.005167
U005,U296,0,2025-06-13 13:27:49.005174
U005,U126,1,2025-12-27 13:27:49.005180
U006,U170,0,2025-11-03 13:27:49.005195
U006,U182,0,2025-07-16 13:27:49.005200
U006,U077,1,2025-11-17 13:27:49.005206
U006,U028,0,2025-07-18 13:27:49.005212
U006,U046,0,2026-01-19 13:27:49.005217
U006,U004,0,2025-12-10 13:27:49.005223
U006,U029,0,2025-06-24 13:27:49.005229
U006,U216,0,2025-10-25 13:27:49.005234
U007,U282,0,2025-06-27 13:27:49.005247
U007,U203,0,2025-08-25 13:27:49.005253
U007,U118,1,2025-08-20 13:27:49.005260
U007,U230,0,2026-06-02 13:27:49.005266
U007,U253,0,2025-09-12 13:27:49.005271
U007,U071,0,2025-10-23 13:27:49.005277
